,vid_id,upload_date
0,HyHNuVaZJ-k,2016-06-28
1,yYDmaexVHic,2010-10-04
2,qJa-VFwPpYA,2022-08-31
3,04mfKJWDSzI,2010-06-14
4,1V_xRb0x9aw,2016-06-28
5,uAOR6ib95kQ,2010-09-07
6,BONNm0F7Tto,2022-11-18
7,f8NwLXYIHS4,2020-06-18
8,S03T47hapAc,2022-07-28
9,cLnkQAeMbIM,2010-09-07
10,YlUKcNNmywk,2009-10-27
11,GLvohMXgcBo,2009-10-27
12,8DyziWtkfBw,2009-10-27
13,mzJj5-lubeM,2011-07-15
14,rn_YodiJO6k,2011-07-15
15,yuFI5KSPAt4,2006-12-12
16,Sb5aq5HcS1A,2009-10-27
17,JnfyjwChuNU,2009-10-27
18,Mr_uHJPUlO8,2009-10-27
19,Q0oIoR9mLwc,2016-06-17
20,5qm8PH4xAss,2009-06-16
21,SRcnnId15BA,2009-06-16
22,GllEDACUbNo,2009-06-16
23,UDApZhXTpH8,2009-06-16
24,5D3crqpClPY,2009-06-16
25,GNqYWkiBHHw,2009-06-16
26,cDMhlvbOFaM,2009-06-16
27,Zl64MRAqQxk,2022-09-06
28,_vUC0-V2k1E,2017-05-14
29,UQNLDwQYDDg,2017-04-12
30,wsrvmNtWU4E,2009-10-27
31,_u-7rWKnVVo,2022-11-28
32,ZDyDpdFZHBo,2023-01-19
33,yKNxeF4KMsY,2011-05-30
34,dvgZkm1xWPE,2008-08-04
35,1aokooixKIo,2015-07-04
36,FM7MFYoylVs,2017-02-22
37,RB-RcX5DS5A,2011-05-27
38,VPRjCeoBqrI,2014-06-19
39,1G4isv_Fylg,2011-10-19
40,YykjpeuMNEk,2016-01-29
41,3YqPKLZF_WU,2021-09-30
42,k4V3Mo61fJM,2011-05-30
43,CCHdMIEGaaM,2020-01-28
44,FGBhQbmPwH8,2009-02-24
45,a5uQMwRMHcs,2013-12-06
46,CCHdMIEGaaM,2020-01-28
47,K0HSD_i2DvA,2021-10-01
48,gAjR4_CbPpQ,2009-02-26
49,sOS9aOIXPEk,2009-02-26
50,NF-kLy44Hls,2013-09-16
51,HhZaHf8RP6g,2009-02-26
52,FxzBvqY5PP0,2015-06-04
53,eVTXPUF4Oz4,2009-10-26
54,kXYiU_JCYtU,2007-03-05
55,8sgycukafqQ,2007-04-03
56,DLlF2FMv968,2009-10-26
57,4qlCC1GOwFw,2007-03-05
58,LYU-8IFcDPw,2009-10-24
59,OnuuYcqhzCE,2007-08-20
60,vjVkXlxsO8Q,2007-03-05
61,Gd9OhYroLN0,2009-10-24
62,dxytyRy-O1k,2012-05-25
63,XFkzRNyygfk,2008-07-18
64,u5CVsCnxyXg,2009-04-22
65,1uYWYWPc9HU,2015-01-23
66,Bf01riuiJWA,2016-04-06
67,TNRCvG9YtYI,2008-12-03
68,GoLJJRIWCLU,2007-11-29
69,n5h0qHwNrHk,2015-01-23
70,oIFLtNYI3Ls,2015-01-23
71,BbWBRnDK_AE,2008-08-21
72,l482T0yNkeo,2012-11-11
73,v2AC41dglnM,2012-11-07
74,pAgnJDJN4VA,2012-11-07
75,Lo2qQmj0_h4,2013-03-11
76,44XYEeD1A1U,2013-06-06
77,etAIpkdhU9Q,2013-03-08
78,jsjdjWGDvFk,2022-10-21
79,xRQnJyP77tY,2010-01-28
80,FrFvNphZ5BQ,2012-11-08
81,uSD4vsh1zDA,2009-12-23
82,me19SUmWu2s,2022-06-17
83,WpYeekQkAdc,2009-06-16
84,OrTyD7rjBpw,2011-03-16
85,vMLk_T0PPbk,2020-12-04
86,ZaI2IlHwmgQ,2009-06-17
87,H7qR7xvKFEU,2022-10-07
88,I7HahVwYpwo,2010-01-21
89,EzKkl64rRbM,2019-10-11
90,AbNOhZ1rsG8,2022-10-28
91,Zi_XLOBDo_Y,2009-10-03
92,xaYSqjvZjTs,2014-05-14
93,oRdxUFDoQe0,2011-04-11
94,q8w1d01Y2vY,2011-12-28
95,5X-Mrc2l1d0,2009-10-03
