,vid_id,upload_date
0,0jpaRmbeHcE,2011-02-06
1,RJZiYp6HNXQ,2010-06-04
2,CIHvhibChZQ,2016-06-05
3,UE0LFEULw34,2015-12-01
4,-NYvY0Cl1xY,2016-12-25
5,7TQCS6cwg-w,2011-08-28
6,_BbE38-yBLc,2018-04-29
7,iO7-xliBtyA,2008-11-24
8,sf9Zch_-Cik,2017-12-19
9,5vfEV4Qwj_M,2017-12-19
10,iGmES8ws_js,2019-03-15
11,lHdXQAQHjd8,2009-10-25
12,Qy01R9CEFFs,2014-05-15
13,Xqgr7R4zUMg,2014-05-15
14,M6WfM0cXWSQ,2013-11-08
15,Xqgr7R4zUMg,2014-05-15
16,IhsbhbnKoR0,2009-10-25
17,68cbjlLFl4U,2014-10-20
18,w6r4E514nJg,2008-03-02
19,0q2ybRffXi4,2013-10-26
20,EzeaaIfj1Us,2022-07-04
21,SzBJQnD7TRM,2008-10-03
22,2q9_ZEtuTR8,2010-04-12
23,HIA-tNlHQfc,2010-08-30
24,51GuG6N2qHE,2010-04-12
25,SJ5cg0KNKH0,2015-05-11
26,b3cZqWoqweU,2015-07-20
27,d-S1o5OmMMo,2008-09-30
28,P2VayUWrM-4,2019-08-15
29,Xy3T8FmyeE8,2010-04-12
30,GwlU_wsT20Q,2019-10-03
31,GwlU_wsT20Q,2019-10-03
32,GwlU_wsT20Q,2019-10-03
33,GwlU_wsT20Q,2019-10-03
34,GwlU_wsT20Q,2019-10-03
35,GwlU_wsT20Q,2019-10-03
36,GwlU_wsT20Q,2019-10-03
37,GwlU_wsT20Q,2019-10-03
38,GwlU_wsT20Q,2019-10-03
39,GwlU_wsT20Q,2019-10-03
40,ChKqrwa7Ylw,2013-04-05
41,5OuFnuhXUBc,2006-09-07
42,ze1nnxkqyTc,2017-03-24
43,8LhSV-l5ggc,2014-01-06
44,hUJoy7vvVTY,2011-04-12
45,ff1SZIdJwzQ,2013-08-13
46,Rug6yH7Dccw,2006-09-09
47,FhCP9RzfXlY,2017-03-17
48,DA54CWr8fZk,2018-03-31
49,9N5xLVOc1XA,2018-03-31
50,5eV5elH6Xhw,2016-08-03
51,r5Rjaa-uI4Q,2018-03-31
52,htAWTEk1wUY,2014-04-27
53,LfwKr1BWZ2I,2018-03-31
54,vd94axxL4gU,2016-11-24
55,zVJ5gsLeCSM,2016-06-02
56,agNvdSIIkXA,2009-10-27
57,NXrLrg7U_6Y,2009-10-29
58,kXFcr6oy5dk,2012-10-18
59,72371KM95W4,2017-08-10
